experiment_id,samples,n_components,kernel,best_c,best_gamma,cv_score,train_acc,test_acc,precision,recall,f1_score,gen_gap,train_time,explained_variance_ratio
Full_2comp_linear,4210,2,linear,0.1,,0.8707185404736555,0.8703766542246352,0.8725257323832145,0.8769230769230769,0.7916666666666666,0.8321167883211679,0.002149078158579343,0.6213948726654053,0.1556394086354605
Full_2comp_rbf,4210,2,rbf,1.0,0.01,0.8703801329458145,0.8717339667458432,0.8701504354711006,0.8811659192825112,0.7797619047619048,0.8273684210526315,0.0015835312747426444,3.338291645050049,0.1556394086354605
Full_3comp_linear,4210,3,linear,1.0,,0.8710580990475094,0.8727519511367492,0.8733174980205859,0.8788546255506607,0.7916666666666666,0.8329853862212944,0.0005655468838366984,0.9294183254241943,0.19226964627352167
Full_3comp_rbf,4210,3,rbf,100.0,0.01,0.8768254150959685,0.8751272480488632,0.8788598574821853,0.8758029978586723,0.8115079365079365,0.8424304840370752,0.0037326094333220983,3.598454236984253,0.19226964627352167
Full_4comp_linear,4210,4,linear,1.0,,0.8727541653477597,0.8747879199185612,0.880443388756928,0.8862144420131292,0.8035714285714286,0.8428720083246618,0.005655468838366762,1.3790018558502197,0.2218809971777341
Full_4comp_rbf,4210,4,rbf,100.0,auto,0.8822589278006389,0.8971835765184933,0.8867775138558986,0.8706365503080082,0.8412698412698413,0.8557013118062563,0.010406062662594695,11.65023922920227,0.2218809971777341
Full_5comp_linear,4210,5,linear,1.0,,0.8832776035222007,0.8832711231761113,0.8780680918448139,0.8755364806866953,0.8095238095238095,0.8412371134020619,0.005203031331297403,2.8350539207458496,0.24918694834735808
Full_5comp_rbf,4210,5,rbf,100.0,0.01,0.899901585565883,0.9022734984730234,0.9010292953285828,0.8972746331236897,0.8492063492063492,0.872579001019368,0.0012442031444406254,3.502803087234497,0.24918694834735808
Full_6comp_linear,4210,6,linear,1.0,,0.8870127478345948,0.8856464200882254,0.8820269200316706,0.8850325379609545,0.8095238095238095,0.8455958549222798,0.0036195000565547586,1.8128955364227295,0.2752907489980419
Full_6comp_rbf,4210,6,rbf,10.0,0.1,0.9063503208540762,0.9161859518154055,0.9105304829770388,0.909853249475891,0.8611111111111112,0.8848114169215087,0.005655468838366762,3.1799418926239014,0.2752907489980419
Full_7comp_linear,4210,7,linear,10.0,,0.8866731892607408,0.8863250763488293,0.8820269200316706,0.8867102396514162,0.8075396825396826,0.8452751817237798,0.004298156317158686,2.337761640548706,0.3005398623770067
Full_7comp_rbf,4210,7,rbf,100.0,scale,0.9107576760380995,0.9317950458092976,0.9152810768012668,0.9092783505154639,0.875,0.8918099089989889,0.016513969008030815,3.387129783630371,0.3005398623770067
Full_8comp_linear,4210,8,linear,0.1,,0.8873511553624358,0.8876823888700374,0.8883610451306413,0.8971553610503282,0.8134920634920635,0.8532778355879292,0.000678656260603927,1.8881587982177734,0.3253365946637861
Full_8comp_rbf,4210,8,rbf,10.0,auto,0.9114367931858075,0.9365456396335257,0.9176563737133808,0.9098360655737705,0.8809523809523809,0.8951612903225806,0.018889265920144838,3.2830350399017334,0.3253365946637861
