experiment_id,exp_number,n_features,n_features_selected,kernel,selected_features,best_c,best_gamma,best_class_weight,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,f1_score,gen_gap,train_time,y_test,y_pred
Exp01_k2_linear,1,2,2,linear,"['attr_13_3', 'attr_26_2']",0.01,,balanced,0.6333333333333333,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,6.28864312171936,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp02_k2_rbf,2,2,2,rbf,"['attr_13_3', 'attr_26_2']",0.01,0.001,balanced,0.6333333333333333,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,0.19356012344360352,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp03_k3_linear,3,3,3,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",10.0,,balanced,0.5944444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,0.04249405860900879,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp04_k3_rbf,4,3,3,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2']",10.0,0.01,balanced,0.6277777777777778,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,0.1642615795135498,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp05_k4_linear,5,4,4,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,,balanced,0.5944444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,0.03942370414733887,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp06_k4_rbf,6,4,4,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.01,balanced,0.6277777777777778,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,0.16637706756591797,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp07_k5_linear,7,5,5,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",1.0,,balanced,0.5944444444444444,0.5909090909090909,0.6,0.7142857142857143,1.0,0.42857142857142855,0.6,0.009090909090909038,0.03459572792053223,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Exp08_k5_rbf,8,5,5,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",10.0,0.01,balanced,0.6277777777777778,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,0.16048955917358398,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp09_k6_linear,9,6,6,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1']",1.0,,balanced,0.561111111111111,0.5909090909090909,0.6,0.7142857142857143,1.0,0.42857142857142855,0.6,0.009090909090909038,0.03700709342956543,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Exp10_k6_rbf,10,6,6,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1']",10.0,0.01,balanced,0.6277777777777778,0.7272727272727273,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.07272727272727275,0.16315603256225586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Exp11_k7_linear,11,7,7,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2']",1.0,,balanced,0.6777777777777777,0.7272727272727273,0.8,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.07272727272727275,0.03874850273132324,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]"
Exp12_k7_rbf,12,7,7,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2']",0.01,scale,balanced,0.6833333333333332,0.8636363636363636,0.7,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.1636363636363637,0.16293907165527344,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
Exp13_k8_linear,13,8,8,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3']",1.0,,balanced,0.6777777777777777,0.7727272727272727,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.027272727272727337,0.043428659439086914,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
Exp14_k8_rbf,14,8,8,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3']",1.0,scale,balanced,0.7666666666666666,0.8181818181818182,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.11818181818181828,0.16705965995788574,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
Exp15_k10_linear,15,10,10,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0']",1.0,,balanced,0.7333333333333334,0.7727272727272727,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.07272727272727275,0.04051637649536133,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
Exp16_k10_rbf,16,10,10,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0']",1.0,scale,balanced,0.7388888888888889,0.8636363636363636,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.1636363636363637,0.17563462257385254,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
Exp17_k11_linear,17,11,11,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0']",10.0,,,0.7444444444444445,0.9090909090909091,0.7,0.5952380952380952,0.75,0.8571428571428571,0.8,0.2090909090909091,0.04017233848571777,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
Exp18_k11_rbf,18,11,11,rbf,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0']",1.0,0.1,balanced,0.7888888888888891,0.8181818181818182,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.11818181818181828,0.16125011444091797,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
