experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
EM_f2_s1024_r1_linear_low,1,2,2,1024,1,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.126108884811401,5.0294411182403564,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_linear_standard,2,2,2,1024,1,linear,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.3181818181818182,0.3,0.5,0.0,0.0,0.0,0.0,0.018181818181818188,4.319355010986328,0.027405500411987305,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_linear_high,3,2,2,1024,1,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5166666666666667,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,3.901149272918701,0.026447057723999023,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_circular_low,4,2,2,1024,1,circular,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.035464286804199,0.027059316635131836,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_circular_standard,5,2,2,1024,1,circular,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.3181818181818182,0.3,0.5,0.0,0.0,0.0,0.0,0.018181818181818188,4.299614667892456,0.026149511337280273,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_circular_high,6,2,2,1024,1,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5166666666666667,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.230298042297363,0.02625417709350586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_full_low,7,2,2,1024,1,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.178364038467407,0.026707172393798828,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_full_standard,8,2,2,1024,1,full,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.3181818181818182,0.3,0.5,0.0,0.0,0.0,0.0,0.018181818181818188,4.01707649230957,0.027170181274414062,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r1_full_high,9,2,2,1024,1,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5166666666666667,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,3.9849791526794434,0.02881026268005371,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r2_linear_low,10,2,2,1024,2,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.361484527587891,0.025278806686401367,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
