experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Noisy_f2_s1024_r1_linear_low,1,2,2,1024,1,linear,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.6363636363636364,0.4,0.47619047619047616,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.4,0.23636363636363633,5.637603759765625,7.630008220672607,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
Noisy_f2_s1024_r1_linear_standard,2,2,2,1024,1,linear,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.592652320861816,0.03116607666015625,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r1_linear_high,3,2,2,1024,1,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.538812875747681,0.03155207633972168,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r1_circular_low,4,2,2,1024,1,circular,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.6363636363636364,0.4,0.47619047619047616,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.4,0.23636363636363633,4.0435631275177,0.02945685386657715,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
Noisy_f2_s1024_r1_circular_standard,5,2,2,1024,1,circular,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,9.447935104370117,0.12024450302124023,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r1_circular_high,6,2,2,1024,1,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,7.415985107421875,0.07060027122497559,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r1_full_low,7,2,2,1024,1,full,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.6363636363636364,0.4,0.47619047619047616,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.4,0.23636363636363633,4.2179114818573,0.06395769119262695,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
Noisy_f2_s1024_r1_full_standard,8,2,2,1024,1,full,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.6591575145721436,0.056852102279663086,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r1_full_high,9,2,2,1024,1,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.279308319091797,0.052978515625,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r2_linear_low,10,2,2,1024,2,linear,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.6818181818181818,0.5,0.5476190476190476,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.18181818181818177,5.369450807571411,0.06847405433654785,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
