experiment_id,exp_number,total_samples,train_samples,test_samples,k_features,shots,reps,entanglement,noise_level,p_1q,p_2q,p_ro,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,recall_pos1,gen_gap,kernel_time,train_time
Exp2_2feat,1,32,22,10,2,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2']",10.0,0.5777777777777778,0.8636363636363636,0.7,0.5952380952380952,0.8571428571428571,0.1636363636363637,2.1564548015594482,5.1227867603302
Exp2_2feat,2,32,22,10,3,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2']",1.0,0.5444444444444444,0.7272727272727273,0.6,0.6190476190476191,0.5714285714285714,0.12727272727272732,2.4318525791168213,0.02551889419555664
Exp2_4feat,3,32,22,10,4,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",1.0,0.5111111111111111,0.7272727272727273,0.6,0.6190476190476191,0.5714285714285714,0.12727272727272732,3.0704681873321533,0.02617645263671875
Exp2_4feat,4,32,22,10,5,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.1,0.5,0.7727272727272727,0.6,0.6190476190476191,0.5714285714285714,0.17272727272727273,3.6560020446777344,0.026726961135864258
Exp2_6feat,5,32,22,10,6,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,5.079467296600342,0.027448654174804688
Exp2_8feat,6,32,22,10,7,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2']",0.01,0.5666666666666667,0.9090909090909091,0.7,0.6904761904761905,0.7142857142857143,0.2090909090909091,10.444061040878296,0.02604532241821289
Exp2_8feat,7,32,22,10,8,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3']",0.01,0.6166666666666666,0.8636363636363636,0.7,0.5952380952380952,0.8571428571428571,0.1636363636363637,6.8170692920684814,0.029773235321044922
Exp2_8feat,8,32,22,10,9,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0']",0.01,0.5666666666666667,0.8636363636363636,0.8,0.7619047619047619,0.8571428571428571,0.0636363636363636,11.30353307723999,0.025455713272094727
Exp2_10feat,9,32,22,10,10,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,216.03345918655396,0.05762362480163574
Exp2_8feat,10,32,22,10,11,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,351.4259855747223,19.085968732833862
Exp2_10feat,11,32,22,10,12,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0', 'attr_5_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,629.5058491230011,20.072590827941895
Exp2_8feat,12,32,22,10,13,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0', 'attr_5_1', 'attr_6_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,792.5593376159668,15.7016019821167
Exp2_8feat,13,32,22,10,14,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0', 'attr_5_1', 'attr_6_1', 'attr_6_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,782.6216254234314,4.331785440444946
Exp2_10feat,14,32,22,10,15,1024,1,linear,standard,0.001,0.01,0.02,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0', 'attr_3_1', 'attr_2_2', 'attr_2_3', 'attr_1_0', 'attr_4_2.0', 'attr_5_0', 'attr_5_1', 'attr_6_1', 'attr_6_2', 'attr_6_3']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.027272727272727282,2617.506292104721,17.654690504074097
