experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Exp_f2_s1024_r1_linear,1,2,2,1024,1,linear,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.5909090909090909,0.3,0.30952380952380953,0.5,0.2857142857142857,0.36363636363636365,0.29090909090909095,1.6030123233795166,5.2528979778289795,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]"
Exp_f2_s1024_r1_circular,2,2,2,1024,1,circular,"['attr_13_3', 'attr_26_2']",100.0,0.5166666666666667,0.9090909090909091,0.5,0.35714285714285715,0.625,0.7142857142857143,0.6666666666666666,0.40909090909090906,1.6520979404449463,0.02654266357421875,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
Exp_f2_s1024_r1_full,3,2,2,1024,1,full,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.8181818181818182,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.018181818181818188,2.0323269367218018,0.025439977645874023,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
Exp_f2_s1024_r2_linear,4,2,2,1024,2,linear,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,2.009653329849243,0.029765844345092773,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f2_s1024_r2_circular,5,2,2,1024,2,circular,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,1.9030215740203857,0.027425289154052734,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f2_s1024_r2_full,6,2,2,1024,2,full,"['attr_13_3', 'attr_26_2']",100.0,0.5499999999999999,0.9090909090909091,0.5,0.5476190476190476,0.75,0.42857142857142855,0.5454545454545454,0.40909090909090906,1.8164031505584717,0.026561498641967773,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
Exp_f2_s4096_r1_linear,7,2,2,4096,1,linear,"['attr_13_3', 'attr_26_2']",100.0,0.5111111111111111,0.7727272727272727,0.7,0.5952380952380952,0.75,0.8571428571428571,0.8,0.07272727272727275,4.3590898513793945,0.02645730972290039,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 1]"
Exp_f2_s4096_r1_circular,8,2,2,4096,1,circular,"['attr_13_3', 'attr_26_2']",100.0,0.6,0.7727272727272727,0.5,0.45238095238095233,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.2727272727272727,4.045374155044556,0.025983572006225586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]"
Exp_f2_s4096_r1_full,9,2,2,4096,1,full,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,4.2229695320129395,0.02526688575744629,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f2_s4096_r2_linear,10,2,2,4096,2,linear,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,4.297957420349121,0.026650428771972656,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
