PCA_Dimension,Reps,Entanglement,Shots,Best_C,CV_Score,Train_Acc,Test_Acc,Test_Balanced_Acc,Spam_Recall,Generalization_Gap,Kernel_Time,Train_Time,Total_Time,Variance_Explained,Status
4,1,linear,256,100.0,0.61,1.0,0.5348837209302325,0.5135746606334841,0.4117647058823529,0.4651162790697675,380.30422282218933,14.08923053741455,394.3934533596039,0.23148457130922423,Success
4,1,linear,512,10.0,0.6233333333333334,0.9533333333333334,0.5968992248062015,0.5953996983408748,0.5882352941176471,0.35643410852713187,774.4245760440826,15.763591527938843,790.1881675720215,0.23148457130922423,Success
4,1,linear,1024,10.0,0.6166666666666666,0.95,0.6201550387596899,0.6214177978883861,0.6274509803921569,0.32984496124031004,410.8310604095459,4.65332555770874,415.48438596725464,0.23148457130922423,Success
4,1,full,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,299.47951006889343,0.04563570022583008,299.52514576911926,0.23148457130922423,Success
4,1,full,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,336.6066207885742,4.042907953262329,340.64952874183655,0.23148457130922423,Success
4,1,full,1024,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,414.61953711509705,3.778170347213745,418.3977074623108,0.23148457130922423,Success
4,2,linear,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,329.51695919036865,3.79349684715271,333.31045603752136,0.23148457130922423,Success
4,2,linear,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,368.7706744670868,3.752819776535034,372.5234942436218,0.23148457130922423,Success
4,2,linear,1024,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,445.50520157814026,3.882105827331543,449.3873074054718,0.23148457130922423,Success
4,2,full,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,411.0286691188812,3.8189101219177246,414.84757924079895,0.23148457130922423,Success
4,2,full,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,450.6876358985901,3.7632670402526855,454.4509029388428,0.23148457130922423,Success
4,2,full,1024,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,528.4299311637878,3.8386118412017822,532.2685430049896,0.23148457130922423,Success
4,3,linear,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,405.0643570423126,0.24346494674682617,405.30782198905945,0.23148457130922423,Success
4,3,linear,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,442.09993863105774,3.6889488697052,445.78888750076294,0.23148457130922423,Success
4,3,linear,1024,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,521.9344863891602,3.8690688610076904,525.8035552501678,0.23148457130922423,Success
4,3,full,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,527.4995291233063,3.7712202072143555,531.2707493305206,0.23148457130922423,Success
4,3,full,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,565.640570640564,3.8469126224517822,569.4874832630157,0.23148457130922423,Success
4,3,full,1024,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,642.4433867931366,3.776705265045166,646.2200920581818,0.23148457130922423,Success
8,1,linear,256,1.0,0.6133333333333333,1.0,0.5736434108527132,0.5015082956259427,0.1568627450980392,0.4263565891472868,451.0027279853821,3.7941770553588867,454.79690504074097,0.35554837939337175,Success
8,1,linear,512,1.0,0.63,1.0,0.5736434108527132,0.4947209653092006,0.11764705882352941,0.4263565891472868,499.37814474105835,3.799941301345825,503.1780860424042,0.35554837939337175,Success
8,1,linear,1024,10.0,0.6233333333333334,1.0,0.5891472868217055,0.5177224736048265,0.17647058823529413,0.4108527131782945,594.6622388362885,3.7959976196289062,598.4582364559174,0.35554837939337175,Success
8,1,full,256,10.0,0.6266666666666666,1.0,0.6511627906976745,0.5622171945701357,0.13725490196078433,0.34883720930232553,772.6598000526428,3.9313628673553467,776.5911629199982,0.35554837939337175,Success
8,1,full,512,1.0,0.64,1.0,0.6356589147286822,0.5460030165912518,0.11764705882352941,0.3643410852713178,821.4565286636353,3.8034448623657227,825.259973526001,0.35554837939337175,Success
